set MFRS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set HORIZON := 1 2 3 4 5 6 7;

:             price[v,i,t] quant[v,i,t]    :=
OPV      13 2     0            0
OPV      13 3     0            0
OPV      13 4     0            0
OPV      13 5     0            0
OPV      13 6     0            0
OPV      13 7     0            0
OPV      14 1     0            0
OPV      14 2     0            0
OPV      14 3     0            0
OPV      14 4     0            0
OPV      14 5     0            0
OPV      14 6     0            0
OPV      14 7     0            0
OPV      15 1     0            0
OPV      15 2     0            0
OPV      15 3     0            0
OPV      15 4     0            0
OPV      15 5     0            0
OPV      15 6     0            0
OPV      15 7     0            0
OPV      16 1     0            0
OPV      16 2     0            0
OPV      16 3     0            0
OPV      16 4     0            0
OPV      16 5     0            0
OPV      16 6     0            0
OPV      16 7     0            0
OPV      17 1     0            0
OPV      17 2     0            0
OPV      17 3     0            0
OPV      17 4     0            0
OPV      17 5     0            0
OPV      17 6     1.92955     95.1506
OPV      17 7     0            0
OPV      18 1     1.16824    129.6
OPV      18 2     0.01       133.06
OPV      18 3     0.01       133.835
OPV      18 4     0.01       138.564
OPV      18 5     0.01       141.439
OPV      18 6     1.92955     95.1506
OPV      18 7     0.01       146.707
OPV      19 1     1.16824    129.6
OPV      19 2     0.01       133.06
OPV      19 3     0.01       133.835
OPV      19 4     0.01       138.564
OPV      19 5     0.01       141.439
OPV      19 6     1.92955     95.1506
OPV      19 7     0.01       146.707
OPV      20 1     0            0
OPV      20 2     0            0
OPV      20 3     0            0
OPV      20 4     0            0
OPV      20 5     0            0
OPV      20 6     0            0
OPV      20 7     0            0
Pent     1  1     0            0
Pent     1  2     0            0
Pent     1  3     0            0
Pent     1  4     0            0
Pent     1  5     0            0
Pent     1  6     0            0
Pent     1  7     0            0
Pent     2  1     0            0
Pent     2  2     0            0
Pent     2  3     0            0
Pent     2  4     0            0
Pent     2  5     0            0
Pent     2  6     0            0
Pent     2  7     0            0
Pent     3  1     0            0
Pent     3  2     0            0
Pent     3  3     0            0
Pent     3  4     0            0
Pent     3  5     0            0
Pent     3  6     0            0
Pent     3  7     0            0
Pent     4  1     0            0
Pent     4  2     0            0
Pent     4  3     0            0
Pent     4  4     0            0
Pent     4  5     0            0
Pent     4  6     0            0
Pent     4  7     0            0
Pent     5  1     0            0
Pent     5  2     0            0
Pent     5  3     0            0
Pent     5  4     0            0
Pent     5  5     0            0
Pent     5  6     0            0
Pent     5  7     0            0
Pent     6  1     0            0
Pent     6  2     0            0
Pent     6  3     0            0
Pent     6  4     0            0
Pent     6  5     0            0
Pent     6  6     0            0
Pent     6  7     0            0
Pent     7  1     0            0
Pent     7  2     0            0
Pent     7  3     0            0
Pent     7  4     0            0
Pent     7  5     0            0
Pent     7  6     0            0
Pent     7  7     0            0
Pent     8  1     0            0
Pent     8  2     0            0
Pent     8  3     0            0
Pent     8  4     0            0
Pent     8  5     0            0
Pent     8  6     0            0
Pent     8  7     0            0
Pent     9  1     0            0
Pent     9  2     0            0
Pent     9  3     0            0
Pent     9  4     0            0
Pent     9  5     0            0
Pent     9  6     0            0
Pent     9  7     0            0
Pent     10 1     0            0
Pent     10 2     0            0
Pent     10 3     0            0
Pent     10 4     0            0
Pent     10 5     0            0
Pent     10 6     0            0
Pent     10 7     0            0
Pent     11 1     0            0
Pent     11 2     0            0
Pent     11 3     0            0
Pent     11 4     0            0
Pent     11 5     0            0
Pent     11 6     0            0
Pent     11 7     0            0
Pent     12 1     0            0
Pent     12 2     0            0
Pent     12 3     0            0
Pent     12 4     0            0
Pent     12 5     0            0
Pent     12 6     0.01        30.9619
Pent     12 7     0            0
Pent     13 1     0            0
Pent     13 2     0            0
Pent     13 3     0            0
Pent     13 4     0            0
Pent     13 5     0            0
Pent     13 6     0            0
Pent     13 7     0            0
Pent     14 1     0            0
Pent     14 2     0            0
Pent     14 3     0            0
Pent     14 4     0            0
Pent     14 5     0            0
Pent     14 6     0            0
Pent     14 7     0            0
Pent     15 1     0            0
Pent     15 2     0            0
Pent     15 3     0            0
Pent     15 4     0            0
Pent     15 5     0            0
Pent     15 6     0            0
Pent     15 7     0            0
Pent     16 1     0            0
Pent     16 2     0            0
Pent     16 3     0            0
Pent     16 4     0            0
Pent     16 5     0            0
Pent     16 6     0            0
Pent     16 7     0            0
Pent     17 1     0            0
Pent     17 2     0            0
Pent     17 3     0            0
Pent     17 4     0            0
Pent     17 5     0            0
Pent     17 6     0            0
Pent     17 7     0            0
Pent     18 1     0.01        50.6958
Pent     18 2     2.65        51.0101
Pent     18 3     2.65        50.3491
Pent     18 4     2.65        53.6773
Pent     18 5     2.65        55.4016
Pent     18 6     0.01        30.9619
Pent     18 7     2.65        57.9033
Pent     19 1     0.01        50.6958
Pent     19 2     2.65        51.0101
Pent     19 3     2.65        50.3491
Pent     19 4     2.65        53.6773
Pent     19 5     2.65        55.4016
Pent     19 6     0.01        30.9619
Pent     19 7     2.65        57.9033
Pent     20 1     0            0
Pent     20 2     0            0
Pent     20 3     0            0
Pent     20 4     0            0
Pent     20 5     0            0
Pent     20 6     0            0
Pent     20 7     0            0
Hex      1  1     0            0
Hex      1  2     0            0
Hex      1  3     0            0
Hex      1  4     0            0
Hex      1  5     0            0
Hex      1  6     0            0
Hex      1  7     0            0
Hex      2  1     0            0
Hex      2  2     0            0
Hex      2  3     0            0
Hex      2  4     0            0
Hex      2  5     0            0
Hex      2  6     0            0
Hex      2  7     0            0
Hex      3  1     0            0
Hex      3  2     0            0
Hex      3  3     0            0
Hex      3  4     0            0
Hex      3  5     0            0
Hex      3  6     0            0
Hex      3  7     0            0
Hex      4  1     0            0
Hex      4  2     0            0
Hex      4  3     0            0
Hex      4  4     0            0
Hex      4  5     0            0
Hex      4  6     0            0
Hex      4  7     0            0
Hex      5  1     0            0
Hex      5  2     0            0
Hex      5  3     0            0
Hex      5  4     0            0
Hex      5  5     0            0
Hex      5  6     0            0
Hex      5  7     0            0
Hex      6  1    66.1632      14.9169
Hex      6  2    63.0174      15.0091
Hex      6  3    61.8653      15.0806
Hex      6  4    67.6663      14.8754
Hex      6  5    69.3606      14.8998
Hex      6  6    25.7268      16.3314
Hex      6  7    73.721       14.7763
Hex      7  1     0            0
Hex      7  2     0            0
Hex      7  3     0            0
Hex      7  4     0            0
Hex      7  5     0            0
Hex      7  6     0            0
Hex      7  7     0            0
Hex      8  1     0            0
Hex      8  2     0            0
Hex      8  3     0            0
Hex      8  4     0            0
Hex      8  5     0            0
Hex      8  6     0            0
Hex      8  7     0            0
Hex      9  1    66.1632      14.9169
Hex      9  2    63.0174      15.0091
Hex      9  3    61.8653      15.0806
Hex      9  4    67.6663      14.8754
Hex      9  5    69.3606      14.8998
Hex      9  6    25.7268      16.3314
Hex      9  7    73.721       14.7763
